IP:Port,Loss,Latency
162.159.204.227:7156,0%,243.96
162.159.204.230:8854,0%,245.64
162.159.204.169:878,0%,246.29
162.159.204.127:7281,0%,246.75
162.159.204.38:4500,0%,247.53
162.159.204.18:854,0%,247.78
162.159.204.167:8886,0%,250.93
162.159.204.168:4500,0%,252.29
162.159.204.79:1018,0%,252.58
162.159.204.151:864,0%,252.71
162.159.204.156:1018,0%,253.03
162.159.204.211:3581,0%,253.74
162.159.204.196:890,0%,254.07
162.159.204.41:2371,0%,254.36
162.159.204.72:903,0%,254.87
162.159.204.149:2506,0%,255.17
162.159.204.224:968,0%,255.37
162.159.204.76:8854,0%,255.45
162.159.204.61:946,0%,255.46
162.159.204.117:1701,0%,256.19
162.159.204.113:988,0%,256.60
162.159.204.7:955,0%,256.63
162.159.204.224:1010,0%,256.70
162.159.204.86:500,0%,257.39
162.159.204.103:8886,0%,257.50
162.159.204.94:1070,0%,257.82
162.159.204.168:5956,0%,258.03
162.159.204.149:945,0%,267.26
162.159.204.198:946,0%,268.54
162.159.204.52:891,0%,269.01
162.159.204.16:968,0%,269.78
162.159.204.59:988,0%,269.82
162.159.204.114:8319,0%,270.34
162.159.204.219:3581,0%,272.02
162.159.204.192:942,0%,272.49
162.159.204.119:7281,0%,272.56
162.159.204.217:894,0%,273.72
162.159.204.8:4177,0%,273.84
162.159.204.88:2371,0%,275.13
162.159.204.19:5279,0%,275.74
162.159.204.239:987,0%,275.80
162.159.204.121:1070,0%,276.16
162.159.204.74:987,0%,276.19
162.159.204.66:4500,0%,276.24
162.159.204.228:988,0%,276.91
162.159.204.101:946,0%,277.05
162.159.204.223:891,0%,277.30
162.159.204.111:2371,0%,277.33
162.159.204.232:968,0%,277.34
162.159.204.237:1014,0%,277.39
162.159.204.22:1701,0%,277.53
162.159.204.158:942,0%,277.61
162.159.204.170:8886,0%,278.01
162.159.204.19:854,0%,278.08
162.159.204.38:7103,0%,278.24
162.159.204.202:894,0%,278.36
162.159.204.30:859,0%,278.39
162.159.204.28:1180,0%,278.80
162.159.204.72:880,0%,278.88
162.159.204.12:1070,0%,278.89
162.159.204.150:943,0%,278.90
162.159.204.13:939,0%,278.93
162.159.204.234:1843,0%,279.11
162.159.204.73:3476,0%,279.36
162.159.204.56:2371,0%,279.39
162.159.204.200:880,0%,279.64
162.159.204.45:3138,0%,279.78
162.159.204.101:894,0%,279.87
162.159.204.227:934,0%,279.88
162.159.204.186:894,0%,279.99
162.159.204.64:908,0%,280.35
162.159.204.242:8742,0%,280.43
162.159.204.164:8319,0%,280.62
162.159.204.74:4500,0%,281.32
162.159.204.95:1002,0%,281.34
162.159.204.213:1018,0%,281.51
162.159.204.125:2506,0%,282.13
162.159.204.14:2371,0%,282.37
162.159.204.185:880,0%,282.42
162.159.204.169:939,0%,282.47
162.159.204.165:946,0%,282.70
162.159.204.23:4500,0%,282.89
162.159.204.63:1843,0%,282.97
162.159.204.27:859,0%,283.05
162.159.204.196:2371,0%,283.14
162.159.204.51:4198,0%,283.42
162.159.204.187:2506,0%,283.70
162.159.204.105:4198,0%,283.90
162.159.204.47:3581,0%,284.18
162.159.204.176:2408,0%,284.24
162.159.204.39:1010,0%,284.24
162.159.204.231:890,0%,284.24
162.159.204.241:939,0%,284.55
162.159.204.84:3138,0%,284.68
162.159.204.109:2371,0%,284.73
162.159.204.202:968,0%,284.74
162.159.204.192:4500,0%,284.82
162.159.204.107:8319,0%,284.84
162.159.204.69:928,0%,284.85
162.159.204.229:7103,0%,284.86
162.159.204.162:4500,0%,284.97
162.159.204.103:4177,0%,285.02
162.159.204.126:7156,0%,285.07
162.159.204.35:5956,0%,285.12
162.159.204.141:928,0%,285.20
162.159.204.79:1014,0%,285.24
162.159.204.91:500,0%,285.42
162.159.204.99:946,0%,285.56
162.159.204.84:1387,0%,285.68
162.159.204.252:1018,0%,285.93
162.159.204.119:1387,0%,286.51
162.159.204.138:7559,0%,286.55
162.159.204.223:5279,0%,286.56
162.159.204.171:3581,0%,286.90
162.159.204.231:2371,0%,287.23
162.159.204.3:4177,0%,287.50
162.159.204.59:4198,0%,288.58
162.159.204.108:4177,0%,290.45
162.159.204.238:934,10%,247.78
162.159.204.64:955,10%,255.59
162.159.204.169:955,10%,278.45
162.159.204.17:7103,10%,281.84
162.159.204.226:987,10%,282.04
162.159.204.142:4177,10%,284.46
162.159.204.0:1018,10%,286.12
162.159.204.66:1180,20%,243.47
162.159.204.81:8319,20%,246.59
162.159.204.9:3854,20%,257.41
162.159.204.121:987,20%,274.96
162.159.204.169:2506,20%,279.55
162.159.204.169:5279,20%,284.36
162.159.204.158:908,20%,284.40
162.159.204.143:3138,30%,253.71
162.159.204.154:1070,30%,256.13
162.159.204.189:8854,30%,257.54
162.159.204.75:4500,30%,259.28
162.159.204.16:1014,30%,267.73
162.159.204.174:890,30%,268.87
162.159.204.216:1018,30%,269.63
162.159.204.42:500,30%,281.07
162.159.204.54:1010,30%,281.23
162.159.204.144:903,30%,285.73
162.159.204.22:854,40%,253.73
162.159.204.213:968,40%,255.91
162.159.204.124:1010,40%,266.43
162.159.204.15:7281,40%,276.10
162.159.204.46:5279,40%,276.41
162.159.204.129:8319,40%,280.11
162.159.204.224:4177,40%,280.61
162.159.204.1:2371,40%,285.71
162.159.204.206:7156,40%,286.35
162.159.204.115:1070,40%,286.82
162.159.204.177:939,50%,255.10
162.159.204.196:864,50%,256.99
162.159.204.54:854,50%,271.33
162.159.204.57:8319,50%,278.27
162.159.204.35:2408,50%,279.27
162.159.204.131:8742,50%,280.04
162.159.204.118:942,50%,280.35
162.159.204.69:1070,50%,281.94
162.159.204.67:928,50%,290.78
162.159.204.33:988,60%,252.53
162.159.204.127:3476,60%,254.15
162.159.204.238:4500,60%,255.54
162.159.204.54:1002,60%,273.85
162.159.204.62:864,60%,280.79
162.159.204.71:891,60%,282.63
162.159.204.19:939,60%,285.08
162.159.204.112:5956,60%,286.50
162.159.204.71:1387,60%,286.64
162.159.204.37:1180,60%,287.10
162.159.204.231:2408,70%,271.70
162.159.204.238:5279,70%,274.53
162.159.204.59:3476,70%,274.79
162.159.204.242:1843,70%,275.86
162.159.204.67:1018,70%,275.99
162.159.204.180:7152,70%,278.36
162.159.204.115:3854,70%,278.56
162.159.204.191:2408,70%,282.33
162.159.204.175:8886,70%,282.83
162.159.204.114:1002,70%,283.41
162.159.204.167:7281,70%,283.42
162.159.204.171:987,80%,251.62
162.159.204.5:4198,80%,258.18
162.159.204.67:891,80%,264.53
162.159.204.231:4500,80%,267.75
162.159.204.157:942,80%,277.86
162.159.204.107:880,80%,278.23
162.159.204.163:890,80%,280.02
162.159.204.118:2506,80%,286.25
162.159.204.91:7152,80%,287.24
162.159.204.77:1070,80%,297.84
